GEOID,NAME,PERCENT OF HOUSING CROWDED,PERCENT HOUSEHOLDS BELOW POVERTY,PERCENT AGED 16+ UNEMPLOYED,PERCENT AGED 25+ WITHOUT HIGH SCHOOL DIPLOMA,PERCENT AGED UNDER 18 OR OVER 64,PER CAPITA INCOME,HARDSHIP INDEX
06075025401,Census Tract 254.01; San Francisco County; California,7.3,0.0,4.6,13.6,35.0,73109.0,45.5
06075025402,Census Tract 254.02; San Francisco County; California,5.4,4.1,12.7,11.9,34.0,71989.0,52.1
06075025403,Census Tract 254.03; San Francisco County; California,3.4,7.6,5.1,17.5,34.4,79963.0,46.2
06075025501,Census Tract 255.01; San Francisco County; California,12.5,6.5,7.1,21.2,39.4,54372.0,62.5
06075025502,Census Tract 255.02; San Francisco County; California,6.2,4.5,10.0,13.0,34.0,64110.0,51.8
06075025600,Census Tract 256; San Francisco County; California,4.4,2.3,3.2,20.6,34.9,51634.0,46.3
06075025701,Census Tract 257.01; San Francisco County; California,10.9,7.0,7.8,25.5,31.8,50707.0,60.8
06075025702,Census Tract 257.02; San Francisco County; California,8.2,4.3,3.3,27.5,41.3,39230.0,57.2
06075025800,Census Tract 258; San Francisco County; California,9.0,6.7,5.1,27.4,26.6,38821.0,56.0
06075025900,Census Tract 259; San Francisco County; California,2.5,3.5,6.1,16.1,34.3,69753.0,44.3
06075026001,Census Tract 260.01; San Francisco County; California,11.0,8.8,7.8,22.2,29.9,42368.0,60.9
06075026002,Census Tract 260.02; San Francisco County; California,6.3,3.5,5.8,22.3,39.5,48454.0,53.8
06075026003,Census Tract 260.03; San Francisco County; California,3.8,6.9,4.7,24.599999999999998,38.5,44195.0,52.6
06075026004,Census Tract 260.04; San Francisco County; California,2.4,6.8,3.3,21.9,34.4,56662.0,46.5
06075026100,Census Tract 261; San Francisco County; California,2.6,3.6,7.8,24.3,34.0,49141.0,50.3
06075026201,Census Tract 262.01; San Francisco County; California,8.4,9.3,2.5,18.4,35.0,48148.0,53.6
06075026202,Census Tract 262.02; San Francisco County; California,13.0,2.6,5.1,26.4,32.4,44191.0,59.4
06075026301,Census Tract 263.01; San Francisco County; California,8.5,9.8,18.2,24.3,41.5,30984.0,73.6
06075026302,Census Tract 263.02; San Francisco County; California,10.6,8.1,9.6,18.8,34.7,39252.0,62.5
06075026303,Census Tract 263.03; San Francisco County; California,4.7,0.8,4.1,18.4,33.900000000000006,41001.0,46.5
06075026401,Census Tract 264.01; San Francisco County; California,13.0,13.9,5.9,25.0,39.3,36262.0,68.8
06075026402,Census Tract 264.02; San Francisco County; California,10.5,7.2,5.7,15.0,31.3,44703.0,55.6
06075026403,Census Tract 264.03; San Francisco County; California,7.9,6.6,5.3,25.599999999999998,34.0,38927.0,56.8
06075026404,Census Tract 264.04; San Francisco County; California,9.4,9.6,6.2,23.8,31.700000000000003,34321.0,60.0
06075030101,Census Tract 301.01; San Francisco County; California,0.0,0.0,3.1,4.8,19.0,70873.0,28.0
06075030102,Census Tract 301.02; San Francisco County; California,1.0,6.2,4.0,0.8,25.9,113346.0,30.7
06075030201,Census Tract 302.01; San Francisco County; California,1.0,12.2,2.2,11.5,38.7,75990.0,43.3
06075030202,Census Tract 302.02; San Francisco County; California,0.9,0.0,4.4,4.0,28.2,96424.0,30.8
06075030301,Census Tract 303.01; San Francisco County; California,0.0,1.3,5.1,6.0,32.2,87284.0,33.9
06075030302,Census Tract 303.02; San Francisco County; California,2.4,1.1,5.5,5.4,37.6,102472.0,37.1
06075030400,Census Tract 304; San Francisco County; California,1.0,0.9,3.5,5.6,45.6,111316.0,35.7
06075030500,Census Tract 305; San Francisco County; California,0.9,0.0,1.7,16.6,47.0,74036.0,40.7
06075030600,Census Tract 306; San Francisco County; California,1.5,0.0,3.7,1.3,38.2,127097.0,30.7
