CRASH_DATE,WEATHER_CONDITION,LIGHTING_CONDITION,ROADWAY_SURFACE_COND,ROAD_DEFECT,FIRST_CRASH_TYPE,CRASH_TYPE,LATITUDE,LONGITUDE,BEAT_OF_OCCURRENCE,ALIGNMENT,TRAFFICWAY_TYPE,LANE_CNT,POSTED_SPEED_LIMIT,TRAFFIC_CONTROL_DEVICE,DEVICE_CONDITION,INTERSECTION_RELATED_I,DAMAGE,NUM_UNITS,HIT_AND_RUN_I
2025-01-05T07:25:00.000,Clear,Daylight,Dry,No Unusual Condition,Broadside,Injury (Complaint of Pain),37.761835855010105,-122.41935926752771,Mission,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE
2025-01-05T12:00:00.000,Clear,Daylight,Dry,No Unusual Condition,Not Stated,Injury (Complaint of Pain),37.716282533074079,-122.47223913531285,Oceanview/Merced/Ingleside,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE
2025-01-05T16:03:00.000,Clear,Daylight,Dry,No Unusual Condition,Sideswipe,Injury (Other Visible),37.796574753352033,-122.43201590016193,Marina,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE
2025-01-05T16:49:00.000,Clear,Daylight,Dry,No Unusual Condition,Vehicle/Pedestrian,Injury (Other Visible),37.721568858857857,-122.47263453457877,West of Twin Peaks,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE
2025-01-06T08:30:00.000,Cloudy,Daylight,Dry,No Unusual Condition,Vehicle/Pedestrian,Injury (Complaint of Pain),37.712238816538857,-122.40196425972135,Bayview Hunters Point,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE
2025-01-06T09:45:00.000,Fog,Daylight,Wet,No Unusual Condition,Broadside,Injury (Complaint of Pain),37.708465772548550,-122.45880254677331,Outer Mission,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE
2025-01-06T10:28:00.000,Clear,Daylight,Dry,No Unusual Condition,Head-On,Injury (Other Visible),37.756581925153817,-122.46578988864508,Inner Sunset,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE
2025-01-06T13:30:00.000,Clear,Daylight,Dry,No Unusual Condition,Rear End,Injury (Other Visible),37.780719176957291,-122.41531561536229,Tenderloin,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE
2025-01-06T18:50:00.000,Cloudy,Dark - No Street Lights,Dry,No Unusual Condition,Rear End,Injury (Complaint of Pain),37.774996164240051,-122.45280340052720,Lone Mountain/USF,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE
2025-01-07T06:14:00.000,Clear,Dark - Street Lights,Dry,No Unusual Condition,Head-On,Injury (Complaint of Pain),37.726949913555721,-122.47603947200078,Lakeshore,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE
2025-01-07T07:04:00.000,Clear,Dusk - Dawn,Dry,No Unusual Condition,Other,Injury (Other Visible),37.750325041910315,-122.38656829827345,Bayview Hunters Point,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE
2025-01-07T08:05:00.000,Clear,Daylight,Dry,Not Stated,Sideswipe,Injury (Complaint of Pain),37.758192866313337,-122.44378216670397,Castro/Upper Market,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE
2025-01-07T08:30:00.000,Clear,Daylight,Dry,No Unusual Condition,Sideswipe,Injury (Complaint of Pain),37.783991487573395,-122.40806654609104,South of Market,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE
2025-01-07T09:15:00.000,Clear,Daylight,Dry,No Unusual Condition,Broadside,Injury (Complaint of Pain),37.751806869241364,-122.48919356918145,Sunset/Parkside,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE
2025-01-07T13:00:00.000,Clear,Daylight,Dry,No Unusual Condition,Head-On,Injury (Severe),37.708085729584390,-122.48572386592242,,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE
2025-01-07T16:15:00.000,Cloudy,Daylight,Dry,No Unusual Condition,Sideswipe,Injury (Other Visible),37.776190406057700,-122.45850463613249,Lone Mountain/USF,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE
2025-01-07T16:27:00.000,Clear,Daylight,Dry,No Unusual Condition,Broadside,Injury (Complaint of Pain),37.764036989491900,-122.46631062045569,Inner Sunset,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE
2025-01-07T17:30:00.000,Clear,Dusk - Dawn,Dry,No Unusual Condition,Rear End,Injury (Complaint of Pain),37.784719934553400,-122.41612669607393,Tenderloin,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE
2025-01-07T18:52:00.000,Clear,Dark - Street Lights,Dry,No Unusual Condition,Sideswipe,Injury (Complaint of Pain),37.784219684423455,-122.43457647365140,Japantown,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE
2025-01-08T08:55:00.000,Clear,Daylight,Dry,No Unusual Condition,Broadside,Injury (Severe),37.777399633305940,-122.40701475184399,South of Market,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE
2025-01-08T10:55:00.000,Clear,Daylight,Dry,No Unusual Condition,Broadside,Injury (Complaint of Pain),37.770111449347652,-122.42000832098174,Mission,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE
2025-01-08T12:04:00.000,Clear,Daylight,Dry,No Unusual Condition,Sideswipe,Injury (Other Visible),37.780884511763389,-122.41534913220856,Tenderloin,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE
2025-01-08T14:00:00.000,Clear,Daylight,Dry,No Unusual Condition,Rear End,Injury (Complaint of Pain),37.748153977655683,-122.41600395029734,Bernal Heights,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE
2025-01-08T16:12:00.000,Clear,Daylight,Dry,No Unusual Condition,Rear End,Injury (Complaint of Pain),37.749004080467266,-122.40461192416564,Bernal Heights,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE
