GEOID,NAME,PERCENT OF HOUSING CROWDED,PERCENT HOUSEHOLDS BELOW POVERTY,PERCENT AGED 16+ UNEMPLOYED,PERCENT AGED 25+ WITHOUT HIGH SCHOOL DIPLOMA,PERCENT AGED UNDER 18 OR OVER 64,PER CAPITA INCOME,HARDSHIP INDEX
06037113426,Census Tract 1134.26; Los Angeles County; California,3.1,18.1,7.0,11.7,33.5,30096.0,41.2
06037113427,Census Tract 1134.27; Los Angeles County; California,6.6,13.3,4.3,20.5,32.3,34652.0,40.1
06037113428,Census Tract 1134.28; Los Angeles County; California,7.2,6.5,11.1,8.9,31.6,52599.0,39.0
06037115101,Census Tract 1151.01; Los Angeles County; California,0.0,6.1,6.5,4.8,40.8,63655.0,34.1
06037115103,Census Tract 1151.03; Los Angeles County; California,0.0,0.0,10.1,6.0,1.1,6731.0,28.3
06037115104,Census Tract 1151.04; Los Angeles County; California,4.5,4.7,11.1,8.7,21.799999999999997,47219.0,34.9
06037115202,Census Tract 1152.02; Los Angeles County; California,3.9,11.8,9.0,18.4,20.799999999999997,33991.0,37.9
06037115203,Census Tract 1152.03; Los Angeles County; California,5.2,10.1,1.5,10.0,30.6,65757.0,31.7
06037115204,Census Tract 1152.04; Los Angeles County; California,3.9,10.9,6.2,8.9,29.299999999999997,45755.0,35.8
06037115301,Census Tract 1153.01; Los Angeles County; California,6.1,4.1,1.8,8.2,38.6,47018.0,34.4
06037115302,Census Tract 1153.02; Los Angeles County; California,7.3,13.5,5.4,36.599999999999994,33.8,25079.0,45.1
06037115401,Census Tract 1154.01; Los Angeles County; California,11.8,14.2,4.9,21.799999999999997,37.7,30946.0,45.0
06037115403,Census Tract 1154.03; Los Angeles County; California,8.0,18.3,8.1,22.299999999999997,33.7,29007.0,45.8
06037115404,Census Tract 1154.04; Los Angeles County; California,4.7,11.4,9.6,19.3,30.0,34458.0,41.3
06037117101,Census Tract 1171.01; Los Angeles County; California,5.9,12.6,4.3,17.4,32.8,31490.0,39.6
06037117102,Census Tract 1171.02; Los Angeles County; California,6.5,9.0,5.8,18.7,34.1,33594.0,40.1
06037117201,Census Tract 1172.01; Los Angeles County; California,11.8,18.4,8.6,26.200000000000003,33.4,22086.0,48.8
06037117202,Census Tract 1172.02; Los Angeles County; California,3.8,3.2,17.8,17.7,41.6,41203.0,46.5
06037117301,Census Tract 1173.01; Los Angeles County; California,0.0,1.8,7.8,9.899999999999999,35.1,40556.0,35.0
06037117302,Census Tract 1173.02; Los Angeles County; California,4.0,5.1,6.3,13.3,40.0,48471.0,37.9
06037117303,Census Tract 1173.03; Los Angeles County; California,0.8,9.0,4.7,13.5,38.7,36887.0,37.4
06037117404,Census Tract 1174.04; Los Angeles County; California,7.8,5.9,7.3,9.4,35.1,41483.0,38.8
06037117405,Census Tract 1174.05; Los Angeles County; California,17.8,35.6,5.9,47.5,33.4,14332.0,58.6
06037117407,Census Tract 1174.07; Los Angeles County; California,27.1,26.7,10.2,41.099999999999994,38.900000000000006,15640.0,63.0
06037117408,Census Tract 1174.08; Los Angeles County; California,18.9,32.2,5.3,35.5,39.1,18789.0,57.0
06037117510,Census Tract 1175.10; Los Angeles County; California,17.5,14.6,4.3,46.1,34.0,30620.0,49.8
06037117520,Census Tract 1175.20; Los Angeles County; California,18.7,28.9,7.7,41.6,35.8,18875.0,57.5
06037117530,Census Tract 1175.30; Los Angeles County; California,16.7,23.5,7.7,41.6,35.5,22319.0,54.8
06037119001,Census Tract 1190.01; Los Angeles County; California,16.4,4.9,4.8,36.8,31.799999999999997,29250.0,44.9
06037119003,Census Tract 1190.03; Los Angeles County; California,21.4,4.3,4.7,48.2,32.6,26929.0,48.9
06037119004,Census Tract 1190.04; Los Angeles County; California,2.7,3.4,11.3,37.2,37.6,21725.0,45.7
06037119201,Census Tract 1192.01; Los Angeles County; California,27.9,9.8,11.8,34.0,32.7,25541.0,55.5
06037119202,Census Tract 1192.02; Los Angeles County; California,21.3,16.7,4.4,37.8,36.1,23117.0,52.0
06037119310,Census Tract 1193.10; Los Angeles County; California,4.6,8.8,6.4,25.1,35.2,30571.0,41.4
06037119320,Census Tract 1193.20; Los Angeles County; California,14.2,2.6,11.1,29.700000000000003,32.7,27527.0,46.6
06037119340,Census Tract 1193.40; Los Angeles County; California,20.8,27.7,9.3,44.7,31.8,14268.0,58.8
06037119341,Census Tract 1193.41; Los Angeles County; California,6.8,13.0,5.2,36.7,35.4,23853.0,45.3
06037119342,Census Tract 1193.42; Los Angeles County; California,12.1,10.0,5.7,37.7,32.8,25107.0,46.1
06037119400,Census Tract 1194; Los Angeles County; California,22.9,6.5,4.0,40.9,34.9,25627.0,49.3
06037119700,Census Tract 1197; Los Angeles County; California,7.8,2.5,3.1,27.9,32.9,39874.0,37.6
06037119801,Census Tract 1198.01; Los Angeles County; California,15.4,4.2,7.3,34.900000000000006,37.1,29134.0,47.2
06037119802,Census Tract 1198.02; Los Angeles County; California,5.1,9.3,4.0,38.3,30.7,24194.0,41.6
