Community Area,Year,Month,ARSON,ASSAULT,BATTERY,BURGLARY,CONCEALED CARRY LICENSE VIOLATION,CRIMINAL DAMAGE,CRIMINAL SEXUAL ASSAULT,CRIMINAL TRESPASS,DECEPTIVE PRACTICE,GAMBLING,HOMICIDE,HUMAN TRAFFICKING,INTERFERENCE WITH PUBLIC OFFICER,INTIMIDATION,KIDNAPPING,LIQUOR LAW VIOLATION,MOTOR VEHICLE THEFT,NARCOTICS,NON-CRIMINAL,OBSCENITY,OFFENSE INVOLVING CHILDREN,OTHER NARCOTIC VIOLATION,OTHER OFFENSE,PROSTITUTION,PUBLIC INDECENCY,PUBLIC PEACE VIOLATION,ROBBERY,SEX OFFENSE,STALKING,THEFT,WEAPONS VIOLATION
43,2024,1,4.0,87.0,170.0,32.0,0.0,83.0,7.0,11.0,26.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,39.0,13.0,0.0,0.0,2.0,0.0,51.0,0.0,0.0,4.0,22.0,1.0,2.0,94.0,24.0
43,2024,2,0.0,72.0,152.0,33.0,0.0,96.0,5.0,12.0,26.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,57.0,12.0,0.0,0.0,8.0,0.0,46.0,0.0,0.0,0.0,20.0,3.0,1.0,102.0,21.0
43,2024,3,1.0,80.0,119.0,35.0,0.0,80.0,6.0,13.0,34.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,73.0,6.0,0.0,0.0,7.0,0.0,46.0,0.0,0.0,0.0,32.0,5.0,0.0,109.0,36.0
43,2024,4,1.0,87.0,145.0,40.0,0.0,77.0,3.0,4.0,44.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,57.0,2.0,0.0,0.0,5.0,0.0,64.0,0.0,0.0,0.0,19.0,0.0,4.0,112.0,29.0
43,2024,5,4.0,115.0,184.0,55.0,1.0,72.0,5.0,12.0,33.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,49.0,6.0,0.0,0.0,9.0,0.0,49.0,0.0,0.0,2.0,19.0,5.0,1.0,110.0,23.0
43,2024,6,2.0,69.0,145.0,34.0,0.0,92.0,6.0,12.0,40.0,0.0,5.0,0.0,1.0,0.0,1.0,0.0,65.0,2.0,0.0,0.0,6.0,0.0,42.0,0.0,0.0,2.0,28.0,0.0,1.0,127.0,36.0
43,2024,7,2.0,83.0,187.0,43.0,0.0,119.0,8.0,4.0,34.0,0.0,6.0,0.0,1.0,1.0,0.0,0.0,62.0,6.0,0.0,0.0,4.0,0.0,41.0,0.0,0.0,2.0,31.0,4.0,2.0,143.0,36.0
43,2024,8,0.0,85.0,152.0,41.0,1.0,106.0,10.0,21.0,40.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,48.0,5.0,0.0,0.0,3.0,0.0,50.0,0.0,0.0,1.0,41.0,1.0,2.0,130.0,28.0
43,2024,9,4.0,80.0,141.0,43.0,0.0,87.0,5.0,13.0,24.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,53.0,9.0,0.0,0.0,6.0,0.0,46.0,0.0,0.0,3.0,28.0,3.0,3.0,151.0,34.0
43,2024,10,0.0,97.0,160.0,32.0,0.0,81.0,1.0,10.0,27.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,38.0,5.0,0.0,0.0,5.0,0.0,48.0,3.0,0.0,0.0,25.0,6.0,1.0,126.0,18.0
