Community Area,Year,Month,AGGRAVATED ASSAULT FIREARM,AGGRAVATED ASSAULT NO FIREARM,ALL OTHER OFFENSES,ARSON,BURGLARY NON-RESIDENTIAL,BURGLARY RESIDENTIAL,DISORDERLY CONDUCT,DRIVING UNDER THE INFLUENCE,EMBEZZLEMENT,FORGERY AND COUNTERFEITING,FRAUD,GAMBLING VIOLATIONS,HOMICIDE - CRIMINAL,HOMICIDE - JUSTIFIABLE,LIQUOR LAW VIOLATIONS,MOTOR VEHICLE THEFT,NARCOTIC / DRUG LAW VIOLATIONS,OFFENSES AGAINST FAMILY AND CHILDREN,OTHER ASSAULTS,OTHER SEX OFFENSES (NOT COMMERCIALIZED),PROSTITUTION AND COMMERCIALIZED VICE,PUBLIC DRUNKENNESS,RAPE,RECEIVING STOLEN PROPERTY,ROBBERY FIREARM,ROBBERY NO FIREARM,THEFT FROM VEHICLE,THEFTS,VAGRANCY/LOITERING,VANDALISM/CRIMINAL MISCHIEF,WEAPON VIOLATIONS
03,2025,10,3.0,18.0,30.0,1.0,5.0,6.0,0.0,2.0,1.0,2.0,41.0,0.0,2.0,0.0,1.0,80.0,1.0,0.0,74.0,4.0,0.0,0.0,1.0,2.0,5.0,6.0,110.0,172.0,0.0,43.0,4.0
03,2025,11,1.0,13.0,40.0,3.0,3.0,6.0,2.0,2.0,2.0,0.0,25.0,0.0,0.0,0.0,0.0,44.0,3.0,0.0,89.0,1.0,0.0,0.0,1.0,0.0,6.0,8.0,104.0,165.0,0.0,49.0,5.0
03,2025,12,4.0,16.0,14.0,3.0,2.0,1.0,2.0,1.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,65.0,3.0,0.0,74.0,1.0,0.0,1.0,2.0,4.0,6.0,6.0,92.0,122.0,0.0,42.0,3.0
03,2026,1,0.0,11.0,19.0,2.0,6.0,5.0,1.0,2.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,61.0,1.0,0.0,83.0,2.0,0.0,1.0,1.0,1.0,1.0,6.0,80.0,147.0,0.0,33.0,4.0
03,2026,2,1.0,24.0,18.0,1.0,1.0,2.0,0.0,2.0,1.0,1.0,23.0,0.0,1.0,0.0,0.0,55.0,0.0,0.0,71.0,1.0,0.0,1.0,4.0,2.0,3.0,10.0,72.0,142.0,0.0,18.0,4.0
03,2026,3,0.0,9.0,21.0,1.0,6.0,12.0,1.0,2.0,3.0,0.0,24.0,0.0,0.0,0.0,0.0,53.0,2.0,0.0,76.0,2.0,0.0,0.0,5.0,2.0,6.0,7.0,59.0,172.0,0.0,39.0,3.0
03,2026,4,3.0,19.0,31.0,3.0,2.0,8.0,3.0,0.0,2.0,0.0,22.0,0.0,1.0,0.0,0.0,47.0,1.0,0.0,96.0,3.0,0.0,0.0,1.0,0.0,5.0,7.0,45.0,171.0,0.0,31.0,1.0
05,2024,1,2.0,2.0,11.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,26.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,39.0,48.0,0.0,18.0,0.0
05,2024,2,1.0,4.0,3.0,1.0,0.0,4.0,1.0,2.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,38.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,27.0,55.0,0.0,18.0,0.0
05,2024,3,0.0,3.0,13.0,0.0,3.0,1.0,1.0,2.0,1.0,0.0,16.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,29.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,29.0,54.0,0.0,14.0,1.0
05,2024,4,0.0,4.0,8.0,1.0,5.0,6.0,0.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,29.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,39.0,57.0,0.0,25.0,1.0
05,2024,5,3.0,6.0,13.0,1.0,4.0,7.0,0.0,0.0,1.0,0.0,12.0,0.0,1.0,0.0,0.0,37.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,34.0,54.0,0.0,12.0,0.0
05,2024,6,2.0,2.0,8.0,0.0,7.0,2.0,0.0,0.0,4.0,0.0,15.0,0.0,0.0,0.0,0.0,21.0,0.0,1.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,48.0,0.0,9.0,1.0
05,2024,7,0.0,4.0,6.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,29.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,24.0,45.0,0.0,20.0,1.0
